date,predicted,yhat_lower,yhat_upper
2024-12-06,3861.0672457026603,2712.937059568378,5059.092319931446
2024-12-07,3850.939626502202,2837.8706356015955,4935.332354171649
2024-12-08,3843.370957438652,2863.7320691124924,4980.976445375843
2024-12-09,3837.5637415765405,2780.135539786003,4901.914282362778
2024-12-10,3839.4210386980694,2738.580864860926,4959.235779726085
2024-12-11,3833.560304132061,2727.1610238631274,4963.402503318882
2024-12-12,3941.2336385339,2800.046532666531,5050.748195559127
2024-12-13,3793.503144625405,2725.5687098317544,4906.29771720375
2024-12-14,3772.227457481593,2617.9753845338614,4803.959692973942
2024-12-15,3754.7757264876204,2604.9306311994746,4790.884540057079
2024-12-16,3740.6652562050504,2605.025553925665,4830.799926653758
2024-12-17,3736.0950848587217,2613.3681633518004,4805.044737250257
2024-12-18,3725.9518941150163,2727.5217978160595,4869.446086357995
2024-12-19,3831.722707006594,2623.1829362939047,4979.393309886454
2024-12-20,3684.663270234252,2594.7640361404838,4753.153641927826
2024-12-21,3666.7783772902444,2531.50485854441,4773.395486976602
2024-12-22,3655.530584891925,2541.335309174548,4725.135610639647
2024-12-23,3650.4736840724286,2516.557842594227,4782.2731240134135
2024-12-24,3657.7833341780533,2517.370374597312,4676.0326682421255
2024-12-25,3662.2613546968496,2606.383664251236,4791.290661053352
2024-12-26,3785.2482017069246,2687.8893435326886,4827.073080940615
2024-12-27,3657.7925615457307,2512.7998798112963,4745.563322312891
2024-12-28,3661.634319526259,2583.189717946189,4779.30419314543
2024-12-29,3673.9173220811567,2639.536505658069,4807.095594692522
2024-12-30,3693.8282244645015,2645.0714301556523,4799.940809295536
2024-12-31,3727.133729231623,2625.1499327932256,4725.859843171962
2025-01-01,3758.1925757874387,2705.414192525809,4802.12003117408
2025-01-02,3907.876644526004,2830.7601876307886,4981.393361221633
2025-01-03,3806.74992009325,2621.219431032514,4838.233400683616
2025-01-04,3836.061363118899,2721.181939880659,4940.179611518417
